panel zone shear distortion (rad),panel zone shear force (kN)
-0.000463685,-422.9478354
-0.000444252,-405.0439144
-0.000427373,-386.6628322
-0.000414267,-368.0431693
-0.000394437,-349.66303
-0.00037415,-331.4007665
-0.000348394,-313.4977886
-0.000334033,-294.639545
-0.000311655,-276.1396439
-0.000296031,-257.6387998
-0.000278732,-239.2577176
-0.000260554,-220.7578165
-0.000246605,-202.2579154
-0.000227604,-183.996595
-0.000206928,-165.8540933
-0.00019383,-147.473011
-0.000179909,-128.7222703
-0.0001706,-110.640121
-0.000157522,-92.40209287
-0.000140618,-74.16444187
-0.000127957,-57.31131301
-0.000108519,-39.38400545
-9.20E-05,-22.52493564
-7.52E-05,-4.136893978
-5.95E-05,14.70826064
-4.01E-05,33.41137962
-2.15E-05,51.94749216
-1.67E-06,70.49539225
1.48E-05,88.42279412
3.30E-05,106.3503845
5.02E-05,124.3014559
6.84E-05,141.6075108
9.22E-05,159.6311936
0.000104754,177.6539334
0.000118539,195.5569114
0.00013084,213.8182318
0.000148606,232.1993141
0.000170161,250.5803964
0.000187075,268.722898
0.000205967,286.7456378
0.00023046,305.3643577
0.000254349,323.74544
0.000272032,341.7681798
0.000290649,359.9106814
0.00031009,378.5303443
0.000322254,396.7916648
0.000339882,415.4113276
0.000359899,433.9112287
0.00037934,452.0537304
0.000395403,470.5536314
0.000415503,489.2930562
0.000431594,507.5543768
0.000450238,526.0542778
0.000465368,544.9125212
0.000486401,563.4133652
0.000503206,581.436105
0.000522701,599.578607
0.000545217,618.1973266
0.000558947,636.6981706
0.000578442,654.9594912
0.000601782,672.8634124
0.00061606,691.6018937
0.000631712,709.5058148
0.000650109,727.4087929
0.000668781,745.7898752
0.000684158,764.0511954
0.000703928,782.312516
0.000718206,800.3352558
0.000731936,815.2555043
0.000751706,833.7554052
0.000770652,851.8979072
0.00078548,870.5166268
0.000804701,889.2560516
0.000817881,906.0849453
0.000836553,924.2274467
0.000859069,942.6085291
0.0008717,960.0371751
0.000892843,978.2937805
0.000910416,996.2014733
0.000929088,1014.099736
0.000945289,1032.365772
0.000959842,1050.028283
0.000978513,1068.652661
0.00100323,1087.031857
0.00102135,1105.175302
0.0010208,1086.909267
0.00102162,1068.888413
0.0010208,1050.622377
0.00102053,1032.243181
0.00101998,1013.986575
0.0010197,996.0788826
0.00102025,978.1806196
0.00102053,959.32049
0.0010208,940.9375217
0.00101558,922.7950202
0.00100158,904.4139379
0.000987849,886.0337986
0.000970001,867.771535
0.000951329,850.3457185
0.000933207,832.0843979
0.000917281,813.5844969
0.000897236,795.5608141
0.000879388,776.7025706
0.000862364,758.6798308
0.000841221,740.2996915
0.000826668,722.0374279
0.000807996,704.1344498
0.000792894,685.8731296
0.000775045,667.4920473
0.000756374,649.2307267
0.000738251,631.0882252
0.000721776,612.4685621
0.000701457,593.9686611
0.000688826,575.8261596
0.000667957,557.9231815
0.000651207,539.6609183
0.00063638,521.0412552
0.000613864,503.1382771
0.000594917,484.9957756
0.000576795,466.6156363
0.000558947,448.234554
0.000538627,429.9732337
0.000524898,412.0693127
0.000503343,393.9268111
0.000476488,375.7852524
0.000462073,357.7625126
0.000442467,338.9042691
0.000426624,320.2846062
0.00040927,301.3066008
0.000391532,282.9255186
0.000373629,264.7839599
0.000350866,246.0445352
0.000334802,227.6634529
0.000319288,209.5218943
0.000301248,191.3793926
0.000279665,172.640911
0.000258413,154.6181712
0.000236418,136.1173271
0.000216236,117.9757684
0.000193748,100.0595883
0.000175707,81.36882277
0.000154482,63.28629633
0.000140094,44.75027811
0.000127929,26.35750256
0.000116946,8.274976146
9.12E-05,-9.806324366
6.93E-05,-28.65391194
5.16E-05,-47.65539816
3.42E-05,-65.73792459
1.61E-05,-84.73941082
-5.90E-06,-103.2874995
-2.19E-05,-121.3583327
-4.18E-05,-139.4763161
-5.32E-05,-156.1863909
-6.93E-05,-174.3279495
-8.95E-05,-193.0673742
-0.000108956,-210.9703523
-0.000125,-229.2326157
-0.000142738,-247.4939361
-0.000160468,-265.3969141
-0.000177355,-283.3008351
-0.000193391,-301.920498
-0.000208163,-319.823476
-0.000232684,-337.8462158
-0.000245782,-355.9887175
-0.000261817,-374.6083803
-0.000283784,-393.2280432
-0.000299848,-411.4893637
-0.000315883,-429.9892648
-0.000336148,-448.2505854
-0.000353035,-466.5128486
-0.00037923,-484.5355884
-0.00040034,-502.6771469
-0.000417241,-520.6998871
-0.000429905,-538.9621503
-0.000444686,-557.3422896
-0.000467474,-575.6045532
-0.000482678,-593.7461117
-0.000505073,-611.7688515
-0.000519846,-629.911353
-0.000538023,-646.8600088
-0.000549007,-664.7629864
-0.000575147,-682.7866692
-0.00059629,-699.8541437
-0.000612326,-717.8768835
-0.000632618,-735.8996233
-0.000649917,-753.9223631
-0.000662987,-771.8262842
-0.000680313,-789.7292618
-0.000700605,-807.8717638
-0.000712412,-824.8204191
-0.000734324,-841.8878931
-0.000749262,-859.7918142
-0.000773535,-878.0531348
-0.000786386,-896.314455
-0.000809122,-913.7402719
-0.000824443,-931.644193
-0.000840781,-950.3807888
